t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
2.656,1.0,-1.656,A,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,,MEDIUM,True,0,instructional video ai,0,HIGH,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
1.735,1.0,-0.7350000000000001,A,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,,MEDIUM,True,1,welcome instructional video,0,HIGH,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
4.1475,1.0,-3.1475,A,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,,MEDIUM,True,2,ai powered,0,MEDIUM,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
4.077,1.0,-3.077,A,ocr_at_tnarr_full,1.0,1.0,1.0,23.5,,HIGH,True,3,ai-powered video evaluation,0,HIGH,100.0,100.0,100.0,Optimal,100.0,1,0.3,30.0,0.0
8.862,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,4,demonstrate ai,1,MEDIUM,,,,No Match,,2,0.6,,0.0
14.688,1.0,-13.688,A,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,,MEDIUM,True,5,instructional video content,1,HIGH,100.0,100.0,100.0,Optimal,90.0,2,0.6,60.0,0.0
11.945,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,6,ai driven efficiently,1,MEDIUM,,,,No Match,,2,0.6,,0.0
14.027,1.0,-13.027,A,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,,MEDIUM,True,7,analyzes instructional video,1,HIGH,100.0,100.0,100.0,Optimal,90.0,2,0.6,60.0,0.0
10.844,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,8,ai-driven system,1,MEDIUM,,,,No Match,,2,0.6,,0.0
12.185,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,9,efficiently evaluates,1,MEDIUM,,,,No Match,,2,0.6,,0.0
18.412,23.5,5.088000000000001,D,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,23.5,MEDIUM,True,10,process follows simple,2,MEDIUM,12.605719833467127,0.0,12.605719833467127,Unacceptable,11.345147850120414,3,1.0,12.605719833467127,69.9154241332263
19.753,23.5,3.747,D,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,23.5,MEDIUM,True,11,simple yet powerful three-step ai pipeline,2,MEDIUM,32.52371338814755,43.855000000000004,32.52371338814755,Disruptive,29.271342049332794,3,1.0,32.52371338814755,53.98102928948197
17.691,1.0,-16.691,A,ocr_at_tnarr_partial,0.8,1.0,1.0,23.5,,MEDIUM,True,12,evaluation process follows,2,MEDIUM,99.84126606023932,99.84126606023932,99.84126606023932,Optimal,89.85713945421539,3,1.0,99.84126606023932,0.12698715180854378
25.258,23.5,-1.7579999999999991,A,ocr_at_tnarr_partial,0.8,2.0,23.5,29.0,,MEDIUM,True,13,let explore step,3,MEDIUM,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
24.478,23.5,-0.9780000000000016,A,ocr_at_tnarr_partial,0.8,2.0,23.5,29.0,,MEDIUM,True,14,explore step briefly,3,MEDIUM,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
24.978,,,F,low_groundability,0.0,,,,,NONE,False,15,each step,3,LOW,,,,No Match,,1,0.3,,0.0
26.8,23.5,-3.3000000000000007,A,ocr_at_tnarr_full,1.0,2.0,23.5,29.0,,HIGH,True,16,step audio processing,4,MEDIUM,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
35.303,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,17,key concepts,5,MEDIUM,,,,No Match,,3,1.0,,0.0
37.266,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,18,precise content analysis,5,MEDIUM,,,,No Match,,3,1.0,,0.0
35.584,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,19,concepts ensuring precise,5,MEDIUM,,,,No Match,,3,1.0,,0.0
30.638,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,20,ai extracts transcribes,5,MEDIUM,,,,No Match,,3,1.0,,0.0
32.7,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,21,speech,5,MEDIUM,,,,No Match,,3,1.0,,0.0
37.886,29.0,-8.886000000000003,A,ocr_at_tnarr_partial,0.8,3.0,29.0,82.5,,MEDIUM,True,22,content analysis step,5,MEDIUM,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
33.561,29.0,-4.561,A,ocr_at_tnarr_partial,0.8,3.0,29.0,82.5,,MEDIUM,True,23,video identifying,5,HIGH,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
46.777,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,24,identifying patterns extracting,6,MEDIUM,,,,No Match,,4,1.5,,0.0
